candidate_id,department,gender,race_ethnicity,hired
C1000,Engineering,Female,White,0
C1001,Marketing,Male,Hispanic,0
C1002,Marketing,Female,Asian,1
C1003,Marketing,Female,Hispanic,0
C1004,Content,Male,Two or more / Other,0
C1005,Data,Non-binary,Hispanic,1
C1006,Content,Female,Asian,0
C1007,Marketing,Female,White,1
C1008,Content,Male,Hispanic,0
C1009,Engineering,Male,White,1
C1010,Marketing,Male,Black,1
C1011,Engineering,Female,Black,1
C1012,Data,Female,Two or more / Other,1
C1013,Marketing,Female,Two or more / Other,0
C1014,Content,Male,White,1
C1015,Content,Male,Hispanic,1
C1016,Marketing,Female,Hispanic,1
C1017,Content,Male,White,0
C1018,Content,Female,White,0
C1019,Content,Female,White,1
C1020,Content,Female,Hispanic,0
C1021,Data,Male,White,1
C1022,Engineering,Non-binary,Two or more / Other,1
C1023,Data,Female,White,1
C1024,Content,Female,Two or more / Other,0
C1025,Marketing,Male,White,0
C1026,Engineering,Male,Hispanic,0
C1027,Content,Male,White,0
C1028,Data,Male,Black,0
C1029,Content,Female,Hispanic,0
C1030,Engineering,Female,Asian,0
C1031,Marketing,Female,Asian,0
C1032,Engineering,Male,White,0
C1033,Content,Male,White,0
C1034,Content,Male,White,0
C1035,Marketing,Male,White,0
C1036,Marketing,Male,Hispanic,0
C1037,Marketing,Male,Hispanic,1
C1038,Data,Male,Hispanic,0
C1039,Engineering,Female,Asian,1
C1040,Content,Male,Hispanic,0
C1041,Engineering,Female,Hispanic,0
C1042,Engineering,Female,White,1
C1043,Engineering,Male,White,0
C1044,Marketing,Female,Black,1
C1045,Data,Female,Asian,0
C1046,Data,Male,White,0
C1047,Marketing,Male,Black,0
C1048,Data,Female,Hispanic,0
C1049,Engineering,Male,White,1
C1050,Data,Male,White,1
C1051,Data,Male,Asian,1
C1052,Engineering,Female,Hispanic,1
C1053,Content,Female,White,0
C1054,Data,Female,Asian,0
C1055,Content,Female,White,0
C1056,Data,Male,Asian,0
C1057,Data,Female,White,0
C1058,Content,Male,Black,1
C1059,Engineering,Male,White,0
C1060,Content,Female,White,0
C1061,Engineering,Male,Asian,1
C1062,Content,Female,White,0
C1063,Marketing,Female,White,0
C1064,Content,Female,White,1
C1065,Engineering,Female,Hispanic,0
C1066,Content,Female,Hispanic,1
C1067,Marketing,Male,Two or more / Other,1
C1068,Engineering,Male,White,0
C1069,Engineering,Male,White,1
C1070,Data,Male,White,0
C1071,Engineering,Male,Black,1
C1072,Content,Female,Two or more / Other,0
C1073,Engineering,Male,Hispanic,0
C1074,Engineering,Male,Black,0
C1075,Content,Male,White,0
C1076,Marketing,Male,Asian,1
C1077,Engineering,Female,White,0
C1078,Engineering,Female,White,1
C1079,Engineering,Female,White,0
C1080,Marketing,Female,White,0
C1081,Data,Male,White,1
C1082,Engineering,Female,White,0
C1083,Content,Male,White,1
C1084,Content,Male,Black,0
C1085,Content,Male,White,0
C1086,Engineering,Female,White,1
C1087,Engineering,Male,Two or more / Other,0
C1088,Marketing,Male,Hispanic,0
C1089,Content,Male,Black,1
C1090,Content,Male,White,0
C1091,Content,Female,Asian,1
C1092,Data,Male,White,0
C1093,Marketing,Male,White,1
C1094,Content,Male,Asian,0
C1095,Engineering,Female,Black,0
C1096,Data,Male,Hispanic,1
C1097,Data,Male,Black,0
C1098,Engineering,Male,Black,0
C1099,Data,Female,White,0
C1100,Marketing,Female,White,0
C1101,Engineering,Female,White,1
C1102,Data,Male,White,1
C1103,Engineering,Female,Asian,0
C1104,Engineering,Female,White,0
C1105,Engineering,Female,Black,0
C1106,Content,Male,Hispanic,0
C1107,Marketing,Male,Hispanic,0
C1108,Content,Male,White,1
C1109,Engineering,Female,White,1
C1110,Engineering,Male,Two or more / Other,0
C1111,Data,Male,Hispanic,0
C1112,Data,Male,Hispanic,1
C1113,Data,Female,Asian,0
C1114,Engineering,Male,Hispanic,0
C1115,Data,Female,White,0
C1116,Marketing,Female,Black,0
C1117,Marketing,Female,White,0
C1118,Engineering,Male,Black,0
C1119,Data,Female,Two or more / Other,0
C1120,Content,Female,Black,1
C1121,Engineering,Female,White,1
C1122,Engineering,Male,White,0
C1123,Content,Male,Two or more / Other,1
C1124,Engineering,Male,White,0
C1125,Content,Male,White,1
C1126,Content,Male,White,0
C1127,Data,Male,White,0
C1128,Engineering,Male,White,0
C1129,Marketing,Female,Black,0
C1130,Data,Male,White,1
C1131,Data,Female,White,0
C1132,Data,Female,White,0
C1133,Engineering,Male,White,1
C1134,Data,Female,White,1
C1135,Data,Male,Hispanic,1
C1136,Content,Female,White,1
C1137,Content,Male,White,1
C1138,Marketing,Female,White,1
C1139,Content,Male,White,1
C1140,Content,Male,White,0
C1141,Data,Male,White,1
C1142,Data,Female,Asian,0
C1143,Content,Female,White,0
C1144,Data,Male,Black,0
C1145,Content,Male,White,1
C1146,Data,Male,White,0
C1147,Marketing,Female,White,0
C1148,Content,Male,Hispanic,0
C1149,Engineering,Male,Asian,0
C1150,Marketing,Female,White,0
C1151,Content,Female,White,1
C1152,Engineering,Male,White,0
C1153,Engineering,Female,White,0
C1154,Data,Male,Hispanic,0
C1155,Engineering,Female,White,0
C1156,Data,Male,White,1
C1157,Data,Female,Asian,0
C1158,Engineering,Female,White,1
C1159,Marketing,Female,White,0
C1160,Marketing,Male,Hispanic,0
C1161,Content,Female,White,0
C1162,Marketing,Male,White,0
C1163,Content,Male,White,0
C1164,Content,Female,Asian,0
C1165,Content,Male,White,0
C1166,Data,Female,White,0
C1167,Marketing,Female,White,0
C1168,Content,Male,White,1
C1169,Data,Female,Black,0
C1170,Data,Male,White,1
C1171,Data,Male,Black,0
C1172,Marketing,Male,Black,0
C1173,Content,Female,Asian,0
C1174,Data,Male,White,1
C1175,Content,Male,Asian,1
C1176,Content,Male,Black,0
C1177,Content,Non-binary,White,1
C1178,Data,Female,Hispanic,1
C1179,Marketing,Female,Asian,0
C1180,Content,Female,White,0
C1181,Content,Female,Asian,1
C1182,Content,Male,White,1
C1183,Marketing,Male,Black,0
C1184,Content,Female,Two or more / Other,0
C1185,Marketing,Female,White,0
C1186,Content,Male,Hispanic,1
C1187,Content,Male,White,1
C1188,Data,Female,Hispanic,1
C1189,Content,Male,Black,0
C1190,Engineering,Female,White,1
C1191,Content,Male,White,1
C1192,Marketing,Male,White,0
C1193,Engineering,Female,White,0
C1194,Content,Male,White,0
C1195,Engineering,Male,White,0
C1196,Marketing,Female,White,0
C1197,Marketing,Female,White,0
C1198,Data,Male,Hispanic,1
C1199,Content,Male,Hispanic,0
C1200,Data,Female,Hispanic,0
C1201,Engineering,Non-binary,White,0
C1202,Data,Male,Asian,0
C1203,Marketing,Male,Black,0
C1204,Data,Male,White,1
C1205,Data,Male,White,1
C1206,Marketing,Male,Hispanic,1
C1207,Content,Female,White,0
C1208,Marketing,Male,Black,1
C1209,Data,Male,Two or more / Other,1
C1210,Data,Female,White,0
C1211,Data,Female,White,0
C1212,Engineering,Male,Two or more / Other,0
C1213,Marketing,Female,Black,1
C1214,Engineering,Female,White,1
C1215,Marketing,Female,Asian,0
C1216,Data,Male,Asian,1
C1217,Engineering,Male,Black,1
C1218,Marketing,Female,Black,0
C1219,Data,Male,White,1
C1220,Data,Male,White,1
C1221,Content,Male,Black,0
C1222,Engineering,Female,White,0
C1223,Data,Female,Hispanic,0
C1224,Data,Male,Asian,1
C1225,Marketing,Female,White,0
C1226,Data,Male,Black,1
C1227,Engineering,Female,White,0
C1228,Marketing,Female,Asian,0
C1229,Engineering,Male,White,0
C1230,Data,Male,Black,0
C1231,Marketing,Male,Black,0
C1232,Data,Female,White,1
C1233,Marketing,Female,Hispanic,1
C1234,Engineering,Female,Hispanic,1
C1235,Engineering,Female,Black,0
C1236,Content,Male,Hispanic,1
C1237,Marketing,Female,Two or more / Other,0
C1238,Engineering,Male,White,1
C1239,Data,Male,Black,0
C1240,Engineering,Female,White,0
C1241,Content,Female,Hispanic,1
C1242,Engineering,Male,Black,1
C1243,Content,Female,White,1
C1244,Content,Female,White,0
C1245,Engineering,Female,Asian,1
C1246,Marketing,Female,White,0
C1247,Data,Male,Hispanic,0
C1248,Data,Male,White,0
C1249,Content,Male,Two or more / Other,0
C1250,Data,Female,White,0
C1251,Data,Female,White,0
C1252,Data,Male,Asian,1
C1253,Content,Male,Asian,0
C1254,Data,Male,White,1
C1255,Marketing,Female,White,0
C1256,Engineering,Female,Hispanic,0
C1257,Content,Male,Asian,0
C1258,Marketing,Male,White,0
C1259,Engineering,Female,Black,0
C1260,Content,Male,Hispanic,0
C1261,Data,Female,Hispanic,0
C1262,Engineering,Male,Hispanic,0
C1263,Content,Male,Black,0
C1264,Engineering,Female,White,0
C1265,Marketing,Male,Asian,1
C1266,Engineering,Male,Asian,1
C1267,Data,Male,Hispanic,0
C1268,Engineering,Male,White,1
C1269,Data,Male,White,0
C1270,Data,Male,Hispanic,0
C1271,Data,Male,White,1
C1272,Data,Male,Two or more / Other,0
C1273,Engineering,Female,White,0
C1274,Data,Female,Hispanic,0
C1275,Marketing,Male,Asian,1
C1276,Data,Male,White,1
C1277,Data,Male,White,1
C1278,Marketing,Female,Black,0
C1279,Content,Female,Black,0
C1280,Engineering,Male,White,1
C1281,Engineering,Male,Black,0
C1282,Content,Male,Asian,1
C1283,Data,Male,White,0
C1284,Marketing,Female,White,0
C1285,Content,Male,White,1
C1286,Engineering,Male,White,1
C1287,Marketing,Male,White,0
C1288,Marketing,Female,White,0
C1289,Data,Male,Hispanic,1
C1290,Marketing,Female,White,1
C1291,Marketing,Male,Two or more / Other,1
C1292,Data,Female,White,0
C1293,Content,Male,White,0
C1294,Data,Female,Hispanic,0
C1295,Content,Female,Asian,0
C1296,Engineering,Non-binary,White,0
C1297,Content,Female,White,0
C1298,Engineering,Female,White,1
C1299,Engineering,Female,Black,0
C1300,Data,Female,White,0
C1301,Data,Male,White,1
C1302,Engineering,Female,White,0
C1303,Data,Male,White,0
C1304,Engineering,Female,Two or more / Other,0
C1305,Content,Male,Black,0
C1306,Marketing,Male,White,0
C1307,Content,Female,White,0
C1308,Marketing,Male,White,1
C1309,Data,Male,White,1
C1310,Engineering,Male,Hispanic,0
C1311,Engineering,Male,Asian,1
C1312,Data,Male,Asian,0
C1313,Marketing,Male,Two or more / Other,1
C1314,Marketing,Male,Two or more / Other,1
C1315,Content,Male,Two or more / Other,0
C1316,Content,Male,White,1
C1317,Marketing,Female,White,0
C1318,Marketing,Male,White,0
C1319,Engineering,Female,Black,1
C1320,Marketing,Female,White,0
C1321,Marketing,Male,Asian,0
C1322,Engineering,Male,Black,0
C1323,Content,Female,Black,0
C1324,Data,Female,White,0
C1325,Marketing,Female,White,0
C1326,Engineering,Female,White,1
C1327,Engineering,Female,Asian,0
C1328,Marketing,Female,Black,0
C1329,Content,Male,Hispanic,0
C1330,Data,Female,White,0
C1331,Marketing,Male,White,0
C1332,Data,Female,White,0
C1333,Engineering,Female,Hispanic,0
C1334,Content,Male,Hispanic,1
C1335,Engineering,Female,White,1
C1336,Marketing,Male,Asian,0
C1337,Engineering,Female,White,0
C1338,Content,Male,Asian,0
C1339,Content,Female,White,1
C1340,Engineering,Male,White,1
C1341,Engineering,Female,Asian,0
C1342,Marketing,Female,White,0
C1343,Data,Female,White,0
C1344,Engineering,Female,White,0
C1345,Content,Female,White,0
C1346,Engineering,Female,Hispanic,0
C1347,Data,Male,Asian,0
C1348,Content,Female,Asian,0
C1349,Data,Male,White,0
C1350,Engineering,Female,Black,0
C1351,Engineering,Male,White,1
C1352,Marketing,Female,White,0
C1353,Marketing,Female,White,0
C1354,Data,Male,Asian,0
C1355,Data,Female,Asian,1
C1356,Data,Female,Hispanic,0
C1357,Marketing,Female,Black,0
C1358,Content,Male,White,0
C1359,Content,Female,Black,0
C1360,Engineering,Female,Black,0
C1361,Content,Male,White,0
C1362,Content,Male,White,1
C1363,Engineering,Male,White,0
C1364,Engineering,Female,Two or more / Other,0
C1365,Marketing,Male,White,0
C1366,Content,Female,Two or more / Other,0
C1367,Data,Female,White,0
C1368,Content,Male,Black,1
C1369,Data,Female,White,1
C1370,Marketing,Female,White,1
C1371,Engineering,Male,White,1
C1372,Engineering,Male,White,0
C1373,Marketing,Male,Asian,0
C1374,Marketing,Male,White,1
C1375,Content,Male,Black,1
C1376,Marketing,Female,White,0
C1377,Data,Male,White,0
C1378,Content,Male,Black,0
C1379,Engineering,Female,White,0
C1380,Content,Female,Two or more / Other,0
C1381,Data,Female,Hispanic,1
C1382,Data,Female,Hispanic,0
C1383,Data,Male,White,0
C1384,Data,Male,White,0
C1385,Engineering,Non-binary,Asian,1
C1386,Content,Female,White,0
C1387,Engineering,Female,White,0
C1388,Engineering,Male,White,0
C1389,Data,Female,Hispanic,0
C1390,Data,Female,Black,0
C1391,Engineering,Male,Hispanic,0
C1392,Marketing,Female,Hispanic,0
C1393,Marketing,Female,White,1
C1394,Engineering,Male,Asian,0
C1395,Data,Male,White,0
C1396,Data,Female,Black,0
C1397,Marketing,Male,White,1
C1398,Marketing,Male,Two or more / Other,1
C1399,Content,Male,White,0
C1400,Data,Male,White,0
C1401,Content,Female,White,0
C1402,Data,Female,White,0
C1403,Engineering,Male,White,0
C1404,Engineering,Non-binary,Black,0
C1405,Data,Female,White,1
C1406,Content,Male,Asian,1
C1407,Content,Female,White,1
C1408,Data,Male,Hispanic,0
C1409,Engineering,Non-binary,White,1
C1410,Marketing,Female,Black,0
C1411,Content,Female,Black,0
C1412,Engineering,Male,White,1
C1413,Data,Female,Two or more / Other,1
C1414,Engineering,Male,White,0
C1415,Engineering,Male,White,0
C1416,Marketing,Male,Hispanic,0
C1417,Data,Female,Asian,0
C1418,Engineering,Male,White,1
C1419,Marketing,Female,White,0
C1420,Marketing,Female,Asian,0
C1421,Data,Male,Hispanic,0
C1422,Engineering,Male,Two or more / Other,0
C1423,Data,Male,Black,0
C1424,Marketing,Female,Black,0
C1425,Data,Female,White,0
C1426,Content,Male,Asian,1
C1427,Data,Female,White,0
C1428,Marketing,Male,Hispanic,0
C1429,Engineering,Female,White,0
C1430,Data,Female,Black,0
C1431,Data,Female,Hispanic,1
C1432,Content,Female,Black,0
C1433,Marketing,Female,Asian,0
C1434,Content,Male,White,0
C1435,Marketing,Male,Black,0
C1436,Data,Male,White,1
C1437,Data,Male,White,0
C1438,Engineering,Female,White,0
C1439,Data,Female,White,0
C1440,Content,Female,White,1
C1441,Marketing,Male,Hispanic,1
C1442,Data,Female,Black,0
C1443,Content,Male,Hispanic,0
C1444,Content,Male,White,0
C1445,Content,Female,White,0
C1446,Data,Non-binary,White,0
C1447,Content,Female,Hispanic,0
C1448,Content,Male,Asian,0
C1449,Content,Female,White,1
C1450,Engineering,Male,Hispanic,1
C1451,Content,Female,White,0
C1452,Engineering,Female,White,1
C1453,Engineering,Male,White,0
C1454,Marketing,Male,White,0
C1455,Engineering,Male,Hispanic,0
C1456,Marketing,Non-binary,Asian,0
C1457,Data,Male,White,0
C1458,Marketing,Female,Black,0
C1459,Content,Female,Hispanic,1
C1460,Engineering,Female,Two or more / Other,1
C1461,Data,Male,Black,0
C1462,Data,Female,White,0
C1463,Marketing,Male,Black,1
C1464,Engineering,Female,White,0
C1465,Engineering,Female,Two or more / Other,0
C1466,Content,Female,White,0
C1467,Engineering,Female,Hispanic,0
C1468,Data,Male,White,0
C1469,Engineering,Male,White,0
C1470,Content,Male,Asian,0
C1471,Data,Male,Black,1
C1472,Data,Male,White,0
C1473,Engineering,Male,Asian,1
C1474,Content,Male,Asian,0
C1475,Marketing,Male,White,1
C1476,Marketing,Male,Black,1
C1477,Data,Female,White,1
C1478,Data,Female,Black,0
C1479,Data,Male,White,1
C1480,Engineering,Male,White,1
C1481,Engineering,Male,Asian,0
C1482,Marketing,Female,Asian,0
C1483,Engineering,Male,Asian,0
C1484,Content,Male,Two or more / Other,0
C1485,Engineering,Male,Hispanic,0
C1486,Data,Male,Hispanic,1
C1487,Engineering,Male,Hispanic,1
C1488,Engineering,Female,White,0
C1489,Engineering,Female,White,1
C1490,Engineering,Female,White,0
C1491,Marketing,Female,Black,0
C1492,Content,Female,White,0
C1493,Data,Male,White,0
C1494,Content,Female,Black,0
C1495,Marketing,Female,White,0
C1496,Marketing,Male,White,0
C1497,Marketing,Female,Hispanic,1
C1498,Data,Male,Asian,1
C1499,Engineering,Male,White,0
C1500,Marketing,Female,White,1
C1501,Data,Female,White,0
C1502,Data,Female,Hispanic,0
C1503,Marketing,Male,Asian,0
C1504,Marketing,Female,White,0
C1505,Data,Female,Hispanic,0
C1506,Marketing,Male,White,0
C1507,Data,Female,White,1
C1508,Engineering,Male,Two or more / Other,0
C1509,Content,Male,White,1
C1510,Engineering,Male,White,0
C1511,Engineering,Female,White,0
C1512,Content,Male,Black,0
C1513,Engineering,Male,Asian,0
C1514,Content,Male,Two or more / Other,0
C1515,Content,Male,White,1
C1516,Marketing,Male,White,0
C1517,Data,Female,Hispanic,0
C1518,Data,Male,White,1
C1519,Content,Female,Asian,0
C1520,Content,Female,Hispanic,0
C1521,Data,Male,White,1
C1522,Engineering,Male,Asian,1
C1523,Marketing,Female,White,1
C1524,Content,Male,White,0
C1525,Engineering,Male,Black,0
C1526,Marketing,Female,Black,0
C1527,Content,Non-binary,Hispanic,0
C1528,Engineering,Female,Black,0
C1529,Marketing,Male,Two or more / Other,0
C1530,Engineering,Female,Two or more / Other,1
C1531,Marketing,Female,Black,0
C1532,Engineering,Male,White,1
C1533,Content,Female,Hispanic,0
C1534,Data,Male,Two or more / Other,0
C1535,Engineering,Male,White,0
C1536,Data,Female,White,0
C1537,Marketing,Male,White,1
C1538,Data,Male,White,0
C1539,Engineering,Female,Hispanic,0
C1540,Marketing,Non-binary,White,0
C1541,Data,Female,Hispanic,0
C1542,Data,Female,Asian,0
C1543,Engineering,Non-binary,Asian,0
C1544,Data,Male,White,0
C1545,Engineering,Male,White,0
C1546,Marketing,Male,Hispanic,0
C1547,Content,Male,Hispanic,0
C1548,Marketing,Female,White,0
C1549,Marketing,Male,Asian,1
C1550,Engineering,Male,White,0
C1551,Marketing,Male,Asian,1
C1552,Data,Male,White,1
C1553,Content,Female,White,0
C1554,Content,Male,Black,0
C1555,Data,Male,White,1
C1556,Engineering,Male,White,1
C1557,Content,Male,White,0
C1558,Marketing,Female,White,0
C1559,Content,Male,Hispanic,0
C1560,Data,Male,White,1
C1561,Content,Male,Black,0
C1562,Data,Female,Asian,0
C1563,Engineering,Female,White,0
C1564,Marketing,Female,White,0
C1565,Marketing,Female,Asian,0
C1566,Engineering,Female,Asian,0
C1567,Engineering,Male,Black,0
C1568,Marketing,Male,Hispanic,0
C1569,Marketing,Female,White,0
C1570,Marketing,Male,White,0
C1571,Engineering,Female,Hispanic,0
C1572,Marketing,Male,White,1
C1573,Data,Female,Hispanic,0
C1574,Engineering,Female,Black,0
C1575,Content,Male,Hispanic,1
C1576,Content,Female,White,0
C1577,Data,Female,White,1
C1578,Content,Female,White,0
C1579,Content,Male,White,1
C1580,Marketing,Male,Hispanic,0
C1581,Engineering,Female,White,1
C1582,Data,Male,White,0
C1583,Data,Male,White,0
C1584,Marketing,Female,White,0
C1585,Marketing,Female,Asian,0
C1586,Marketing,Male,White,0
C1587,Data,Male,Two or more / Other,0
C1588,Data,Male,White,1
C1589,Content,Male,Black,0
C1590,Content,Female,White,1
C1591,Marketing,Male,White,0
C1592,Engineering,Male,Asian,0
C1593,Data,Female,Two or more / Other,0
C1594,Data,Male,Asian,0
C1595,Marketing,Male,White,1
C1596,Content,Female,White,0
C1597,Content,Female,Black,0
C1598,Content,Non-binary,White,0
C1599,Marketing,Female,Hispanic,0
